LoopId,LoopStartTime,BackgroundThreads,LogCleanerThreads,NumIoThreads,NumNetworkThreads,NumPartitions,NumNodes,NumReplicaFetchers,ThreadsClient,MessageSize,TotalMessages
1,2019-07-08_21-24-20,5,1,4,3,2,2,1,10,10240,333819
2,2019-07-08_21-58-59,5,1,4,3,2,2,1,10,102400,75742
3,2019-07-08_22-33-39,5,1,4,3,2,2,1,15,10240,487452
4,2019-07-08_23-08-21,5,1,4,3,2,2,1,15,102400,75359
5,2019-07-08_23-43-02,5,1,4,3,2,2,1,20,10240,612196
6,2019-07-09_00-17-46,5,1,4,3,2,2,1,20,102400,76390
7,2019-07-09_00-52-26,5,1,4,3,2,2,1,25,10240,704024
8,2019-07-09_01-27-13,5,1,4,3,2,2,1,25,102400,76674
9,2019-07-09_02-01-53,5,1,4,3,2,2,1,50,10240,698589
10,2019-07-09_02-36-42,5,1,4,3,2,2,1,50,102400,77128
11,2019-07-09_03-11-24,5,1,4,3,2,2,2,10,10240,333587
12,2019-07-09_03-46-04,5,1,4,3,2,2,2,10,102400,76371
13,2019-07-09_04-20-45,5,1,4,3,2,2,2,15,10240,485966
14,2019-07-09_04-55-27,5,1,4,3,2,2,2,15,102400,75110
15,2019-07-09_05-30-09,5,1,4,3,2,2,2,20,10240,613267
16,2019-07-09_06-04-54,5,1,4,3,2,2,2,20,102400,76118
17,2019-07-09_06-39-36,5,1,4,3,2,2,2,25,10240,692182
18,2019-07-09_07-14-27,5,1,4,3,2,2,2,25,102400,76094
19,2019-07-09_07-49-07,5,1,4,3,2,2,2,50,10240,724887
20,2019-07-09_08-23-54,5,1,4,3,2,2,2,50,102400,75717
21,2019-07-09_08-58-35,5,1,8,3,2,2,1,10,10240,333612
22,2019-07-09_09-33-13,5,1,8,3,2,2,1,10,102400,75379
23,2019-07-09_10-07-53,5,1,8,3,2,2,1,15,10240,485031
24,2019-07-09_10-42-34,5,1,8,3,2,2,1,15,102400,75678
25,2019-07-09_11-17-15,5,1,8,3,2,2,1,20,10240,609984
26,2019-07-09_11-51-59,5,1,8,3,2,2,1,20,102400,75594
27,2019-07-09_12-26-40,5,1,8,3,2,2,1,25,10240,696942
28,2019-07-09_13-01-28,5,1,8,3,2,2,1,25,102400,75326
29,2019-07-09_13-36-08,5,1,8,3,2,2,1,50,10240,697405
30,2019-07-09_14-10-56,5,1,8,3,2,2,1,50,102400,77087
31,2019-07-09_14-45-38,5,1,8,3,2,2,2,10,10240,333489
32,2019-07-09_15-20-17,5,1,8,3,2,2,2,10,102400,75068
33,2019-07-09_15-54-57,5,1,8,3,2,2,2,15,10240,484022
34,2019-07-09_16-29-39,5,1,8,3,2,2,2,15,102400,76573
35,2019-07-09_17-04-21,5,1,8,3,2,2,2,20,10240,610635
36,2019-07-09_17-39-07,5,1,8,3,2,2,2,20,102400,75966
37,2019-07-09_18-13-48,5,1,8,3,2,2,2,25,10240,699789
38,2019-07-09_18-48-35,5,1,8,3,2,2,2,25,102400,75139
39,2019-07-09_19-23-15,5,1,8,3,2,2,2,50,10240,706945
40,2019-07-09_19-58-02,5,1,8,3,2,2,2,50,102400,76114
41,2019-07-09_20-32-44,5,1,16,3,2,2,1,10,10240,334027
42,2019-07-09_21-07-24,5,1,16,3,2,2,1,10,102400,75150
43,2019-07-09_21-42-05,5,1,16,3,2,2,1,15,10240,486127
44,2019-07-09_22-16-48,5,1,16,3,2,2,1,15,102400,76427
45,2019-07-09_22-51-28,5,1,16,3,2,2,1,20,10240,612957
46,2019-07-09_23-26-15,5,1,16,3,2,2,1,20,102400,76524
47,2019-07-10_00-00-56,5,1,16,3,2,2,1,25,10240,698271
48,2019-07-10_00-35-43,5,1,16,3,2,2,1,25,102400,74588
49,2019-07-10_01-10-23,5,1,16,3,2,2,1,50,10240,719665
50,2019-07-10_01-45-11,5,1,16,3,2,2,1,50,102400,75155
51,2019-07-10_02-19-53,5,1,16,3,2,2,2,10,10240,333662
52,2019-07-10_02-54-33,5,1,16,3,2,2,2,10,102400,75711
53,2019-07-10_03-29-15,5,1,16,3,2,2,2,15,10240,482202
54,2019-07-10_04-03-58,5,1,16,3,2,2,2,15,102400,75645
55,2019-07-10_04-38-39,5,1,16,3,2,2,2,20,10240,614440
56,2019-07-10_05-13-26,5,1,16,3,2,2,2,20,102400,76639
57,2019-07-10_05-48-09,5,1,16,3,2,2,2,25,10240,701044
58,2019-07-10_06-22-58,5,1,16,3,2,2,2,25,102400,77215
59,2019-07-10_06-57-40,5,1,16,3,2,2,2,50,10240,732704
60,2019-07-10_07-32-30,5,1,16,3,2,2,2,50,102400,74742
61,2019-07-10_08-07-13,10,1,4,3,2,2,1,10,10240,333527
62,2019-07-10_08-41-53,10,1,4,3,2,2,1,10,102400,76207
63,2019-07-10_09-16-33,10,1,4,3,2,2,1,15,10240,485680
64,2019-07-10_09-51-16,10,1,4,3,2,2,1,15,102400,76860
65,2019-07-10_10-25-56,10,1,4,3,2,2,1,20,10240,614977
66,2019-07-10_11-00-41,10,1,4,3,2,2,1,20,102400,76834
67,2019-07-10_11-35-22,10,1,4,3,2,2,1,25,10240,702093
68,2019-07-10_12-10-09,10,1,4,3,2,2,1,25,102400,74733
69,2019-07-10_12-44-50,10,1,4,3,2,2,1,50,10240,733762
70,2019-07-10_13-19-38,10,1,4,3,2,2,1,50,102400,77056
71,2019-07-10_13-54-20,10,1,4,3,2,2,2,10,10240,333802
72,2019-07-10_14-29-00,10,1,4,3,2,2,2,10,102400,75300
73,2019-07-10_15-03-42,10,1,4,3,2,2,2,15,10240,485063
74,2019-07-10_15-38-25,10,1,4,3,2,2,2,15,102400,76542
75,2019-07-10_16-13-06,10,1,4,3,2,2,2,20,10240,614832
76,2019-07-10_16-47-51,10,1,4,3,2,2,2,20,102400,76463
77,2019-07-10_17-22-32,10,1,4,3,2,2,2,25,10240,699637
78,2019-07-10_17-57-19,10,1,4,3,2,2,2,25,102400,76253
79,2019-07-10_18-32-00,10,1,4,3,2,2,2,50,10240,731779
80,2019-07-10_19-06-48,10,1,4,3,2,2,2,50,102400,76169
81,2019-07-10_19-41-29,10,1,8,3,2,2,1,10,10240,334491
82,2019-07-10_20-16-08,10,1,8,3,2,2,1,10,102400,75067
83,2019-07-10_20-50-48,10,1,8,3,2,2,1,15,10240,482313
84,2019-07-10_21-25-31,10,1,8,3,2,2,1,15,102400,75372
85,2019-07-10_22-00-12,10,1,8,3,2,2,1,20,10240,611927
86,2019-07-10_22-34-58,10,1,8,3,2,2,1,20,102400,75877
87,2019-07-10_23-09-39,10,1,8,3,2,2,1,25,10240,695506
88,2019-07-10_23-44-27,10,1,8,3,2,2,1,25,102400,77081
89,2019-07-11_00-19-07,10,1,8,3,2,2,1,50,10240,722469
90,2019-07-11_00-53-55,10,1,8,3,2,2,1,50,102400,78224
91,2019-07-11_01-28-38,10,1,8,3,2,2,2,10,10240,333925
92,2019-07-11_02-03-17,10,1,8,3,2,2,2,10,102400,75995
93,2019-07-11_02-37-58,10,1,8,3,2,2,2,15,10240,485616
94,2019-07-11_03-12-40,10,1,8,3,2,2,2,15,102400,76337
95,2019-07-11_03-47-21,10,1,8,3,2,2,2,20,10240,613996
96,2019-07-11_04-22-06,10,1,8,3,2,2,2,20,102400,75727
97,2019-07-11_04-56-47,10,1,8,3,2,2,2,25,10240,695595
98,2019-07-11_05-31-35,10,1,8,3,2,2,2,25,102400,76558
99,2019-07-11_06-06-17,10,1,8,3,2,2,2,50,10240,736702
100,2019-07-11_06-41-06,10,1,8,3,2,2,2,50,102400,77983
101,2019-07-11_07-15-49,10,1,16,3,2,2,1,10,10240,334131
102,2019-07-11_07-50-30,10,1,16,3,2,2,1,10,102400,76126
103,2019-07-11_08-25-11,10,1,16,3,2,2,1,15,10240,486149
104,2019-07-11_08-59-52,10,1,16,3,2,2,1,15,102400,75715
105,2019-07-11_09-34-32,10,1,16,3,2,2,1,20,10240,615216
106,2019-07-11_10-09-16,10,1,16,3,2,2,1,20,102400,76572
107,2019-07-11_10-43-56,10,1,16,3,2,2,1,25,10240,698076
108,2019-07-11_11-18-44,10,1,16,3,2,2,1,25,102400,75987
109,2019-07-11_11-53-26,10,1,16,3,2,2,1,50,10240,718578
110,2019-07-11_12-28-17,10,1,16,3,2,2,1,50,102400,77669
111,2019-07-11_13-02-59,10,1,16,3,2,2,2,10,10240,334106
112,2019-07-11_13-37-40,10,1,16,3,2,2,2,10,102400,75423
113,2019-07-11_14-12-21,10,1,16,3,2,2,2,15,10240,485799
114,2019-07-11_14-47-05,10,1,16,3,2,2,2,15,102400,76463
115,2019-07-11_15-21-45,10,1,16,3,2,2,2,20,10240,613215
116,2019-07-11_15-56-32,10,1,16,3,2,2,2,20,102400,74887
117,2019-07-11_16-31-13,10,1,16,3,2,2,2,25,10240,695021
118,2019-07-11_17-06-02,10,1,16,3,2,2,2,25,102400,76502
119,2019-07-11_17-40-43,10,1,16,3,2,2,2,50,10240,701954
120,2019-07-11_18-15-30,10,1,16,3,2,2,2,50,102400,77385
